2021-01-30 19:04:59.6364 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:04:59.7302 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:04:59.8326 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:04:59.9542 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:00.0400 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:00.1675 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:00.2762 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:00.3652 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:00.4601 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:00.5999 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:00.6917 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:00.7760 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:00.8654 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:00.9532 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:01.0486 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:01.1633 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:01.2571 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:01.3450 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:01.4598 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:01.5381 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:01.6323 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:01.7203 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:01.8369 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:01.9320 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:02.0180 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:02.1300 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:02.2445 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:02.3438 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:02.4279 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:02.5379 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:02.6645 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:02.7424 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:02.8238 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:02.9309 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:03.0507 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:03.1584 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:03.2802 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:03.3821 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:03.4856 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:03.6083 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:03.7030 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:03.7920 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:03.8809 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:03.9799 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:04.1007 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:04.2383 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:04.3416 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:04.4313 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:04.5140 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:04.5979 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:04.6919 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:04.7771 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:04.8615 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:04.9562 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.0435 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.1324 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.2188 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.3070 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.3910 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.4885 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.6182 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.7137 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.7927 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.8774 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:05.9647 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:06.0505 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:06.1435 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:06.2423 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:06.3460 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:06.4686 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:06.5674 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:06.6673 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:06.7845 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:06.9082 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:07.0179 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:07.1022 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:07.2093 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:07.3319 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:07.4516 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:07.5804 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:07.6912 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:07.7962 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:07.9151 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:08.0099 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:08.0988 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:08.2146 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:08.3088 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:08.4189 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:08.6970 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:08.9350 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:09.0202 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:09.1279 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:09.2525 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:09.3826 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:09.5044 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:09.6122 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:09.7002 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:09.7980 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:09.9029 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:10.0012 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:10.1141 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:10.2289 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:10.3312 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:10.4239 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:10.5338 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:10.6407 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:10.7476 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:10.8308 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:10.9156 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:11.0222 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:11.1528 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:11.2360 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:11.3412 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:11.4534 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:11.5414 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:11.6757 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:11.7704 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:11.8526 || INFO ||  Current Barcode : ssss||  
2021-01-30 19:05:11.9498 || INFO ||  Current Barcode : ssss||  
