2021-01-10 15:34:44.1548 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:34:46.4618 || ERROR || @ index : 0||  
2021-01-10 15:34:46.7035 || ERROR || ^ index : 115||  
2021-01-10 15:34:47.7677 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:34:48.9987 || INFO || Length||  
2021-01-10 15:34:49.4039 || INFO || 14||  
2021-01-10 15:34:50.2616 || INFO || ONGOING||  
2021-01-10 15:35:36.2657 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 15:37:02.9935 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 15:37:12.6272 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 15:37:22.5884 || INFO || Receving string||  
2021-01-10 15:37:23.0233 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:37:25.5121 || ERROR || @ index : 0||  
2021-01-10 15:37:25.9404 || ERROR || ^ index : 115||  
2021-01-10 15:37:28.1423 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:37:31.0017 || INFO || Length||  
2021-01-10 15:37:31.8960 || INFO || 14||  
2021-01-10 15:37:34.1798 || INFO || ONGOING||  
2021-01-10 15:40:31.6104 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 15:41:20.1307 || INFO || Receving string||  
2021-01-10 15:41:21.5131 || INFO || ||  
2021-01-10 15:41:32.8220 || ERROR || @ index : -1||  
2021-01-10 15:41:38.8858 || ERROR || ^ index : -1||  
2021-01-10 15:41:45.0025 || INFO || Receving string||  
2021-01-10 15:41:45.1945 || INFO || ||  
2021-01-10 15:41:46.2198 || ERROR || @ index : -1||  
2021-01-10 15:41:46.4263 || ERROR || ^ index : -1||  
2021-01-10 15:41:58.5550 || INFO || Receving string||  
2021-01-10 15:41:58.7575 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:41:59.7812 || ERROR || @ index : 0||  
2021-01-10 15:41:59.9042 || ERROR || ^ index : 115||  
2021-01-10 15:42:00.6773 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
2021-01-10 15:42:01.7862 || INFO || Length||  
2021-01-10 15:42:02.0105 || INFO || 14||  
2021-01-10 15:42:02.4501 || INFO || ONGOING||  
2021-01-10 16:08:59.6222 || INFO ||  Current Barcode : ERCA10M42747C1SG8CR||  
2021-01-10 16:09:02.8948 || INFO || Barcode : #ERCA10M42747C1SG8CR@||  
2021-01-10 16:09:15.1441 || INFO || Receving string||  
2021-01-10 16:09:15.1521 || INFO || @,1.1,1.2,242:243:PASS,12.1:12.2:PASS,32:31:FAIL,456:455:PASS,333:333:PASS,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,^||  
